participant,trial,condition,truePercent,reportedPercent,log2Error
Mike,10,pie,57,50,0.18903382439001687
Mike,11,bar,94,52,0.8541491335365452
Mike,12,bar,36,30,0.2630344058337938
Mike,13,pie,12,10,0.2630344058337938
Mike,14,bar,81,80,0.017921907997262315
Mike,15,pie,15,10,0.5849625007211562
Mike,16,stacked,19,10,0.925999418556223
Mike,17,stacked,81,55,0.558490289359965
Mike,18,bar,42,50,0.2515387669959644
Mike,19,pie,22,20,0.13750352374993502
Mike,20,pie,71,55,0.36838740598002256
Mike,21,pie,51,45,0.18057224564182084
Mike,22,stacked,22,30,0.44745897697122117
Mike,23,stacked,83,60,0.4681488357384062
Mike,24,bar,28,30,0.09953567355091437
Mike,25,pie,22,20,0.13750352374993502
Mike,26,pie,42,40,0.070389327891398
Mike,27,pie,76,60,0.3410369178350669
Mike,28,pie,54,50,0.11103131238874395
Mike,29,stacked,13,15,0.20645087746742624
Mike,30,stacked,47,30,0.6476982560691188
Mike,31,pie,65,70,0.10691520391651188
Mike,32,bar,49,60,0.29218075149331035
Mike,33,pie,18,15,0.2630344058337938
Mike,34,stacked,49,35,0.48542682717024166
Mike,35,stacked,24,25,0.058893689053568614
Mike,36,bar,94,90,0.06273575534796275
Mike,37,pie,28,25,0.16349873228287956
Mike,38,bar,23,30,0.3833286395515057
Mike,39,bar,28,30,0.09953567355091437
Mike,40,stacked,37,30,0.3025627700204313
Mike,41,bar,60,60,0
Mike,42,bar,28,35,0.32192809488736235
Mike,43,pie,65,55,0.24100809950379498
Mike,44,pie,83,70,0.2457564144019583
Mike,45,pie,52,70,0.4288432988038744
Mike,46,stacked,24,25,0.058893689053568614
Mike,47,stacked,52,50,0.056583528366367514
Mike,48,stacked,43,30,0.5193741590935794
Mike,49,stacked,25,25,0
Mike,50,bar,89,85,0.06634249482869607
Mike,51,pie,34,40,0.23446525363702297
Mike,52,stacked,68,55,0.30610312772567977
Mike,53,bar,11,13,0.24100809950379498
Mike,54,bar,63,60,0.070389327891398
Mike,55,stacked,74,70,0.08017034868398336
Mike,56,pie,19,15,0.3410369178350669
Mike,57,stacked,56,60,0.09953567355091437
Mike,58,bar,20,20,0
Mike,59,pie,69,50,0.46466826700344427
Mike,60,bar,8,15,0.9068905956085185
Dan,1,bar,30,30,0
Dan,2,pie,49,50,0.02914634565951651
Dan,3,bar,37,40,0.11247472925841265
Dan,4,stacked,84,65,0.3699496097503059
Dan,5,bar,79,75,0.07496205768122191
Dan,6,bar,13,20,0.6214883767462702
Dan,7,pie,57,50,0.18903382439001687
Dan,8,pie,35,33,0.08488889758651294
Dan,9,pie,84,90,0.09953567355091437
Dan,10,stacked,13,10,0.3785116232537299
Dan,11,stacked,21,20,0.070389327891398
Dan,12,pie,76,65,0.22555970041513107
Dan,13,pie,70,80,0.19264507794239583
Dan,14,stacked,85,85,0
Dan,15,stacked,79,75,0.07496205768122191
Dan,16,pie,60,70,0.22239242133644802
Dan,17,pie,23,25,0.12029423371771175
Dan,18,stacked,91,75,0.2789759497028154
Dan,19,bar,29,33,0.18641312423088138
Dan,20,pie,69,75,0.12029423371771175
Dan,21,stacked,88,80,0.13750352374993502
Dan,22,pie,33,33,0
Dan,23,stacked,82,80,0.03562390973072122
Dan,24,bar,14,18,0.36257007938470837
Dan,25,bar,93,90,0.04730571477835682
Dan,26,bar,57,60,0.07400058144377678
Dan,27,pie,13,15,0.20645087746742624
Dan,28,stacked,7,10,0.5145731728297582
Dan,29,stacked,50,41,0.28630418515664097
Dan,30,bar,80,75,0.09310940439148145
Dan,31,pie,29,30,0.0489096004809465
Dan,32,bar,80,66,0.27753397552890896
Dan,33,pie,19,25,0.3959286763311393
Dan,34,bar,31,33,0.09019780897157816
Dan,35,bar,57,55,0.051530300640082086
Dan,36,stacked,82,75,0.12873331412220274
Dan,37,pie,47,40,0.2326607567902751
Dan,38,pie,10,10,0
Dan,39,pie,36,35,0.04064198449734577
Dan,40,stacked,22,20,0.13750352374993502
Dan,41,bar,52,55,0.08091999538356746
Dan,42,pie,15,15,0
Dan,43,bar,38,33,0.20353339408513216
Dan,44,stacked,88,80,0.13750352374993502
Dan,45,pie,92,90,0.03170885972733805
Dan,46,stacked,45,45,0
Dan,47,bar,50,50,0
Dan,48,bar,30,35,0.22239242133644802
Dan,49,stacked,92,90,0.03170885972733805
Dan,50,stacked,94,95,0.01526675665331057
Dan,51,bar,27,25,0.11103131238874395
Dan,52,bar,89,90,0.016119665363276994
Dan,53,stacked,19,15,0.3410369178350669
Dan,54,pie,21,15,0.48542682717024166
Dan,55,stacked,68,50,0.4436066514756148
Dan,56,bar,11,20,0.8624964762500651
Dan,57,stacked,31,35,0.1750867065580914
Dan,58,bar,8,10,0.32192809488736235
Dan,59,stacked,28,33,0.23703919730084938
Dan,60,pie,7,10,0.5145731728297582
Sarah,1,bar,33,30,0.13750352374993502
Sarah,2,stacked,75,70,0.09953567355091437
Sarah,3,pie,84,85,0.017073513358941406
Sarah,4,pie,35,40,0.19264507794239583
Sarah,5,bar,78,85,0.12398871727545328
Sarah,6,stacked,75,60,0.32192809488736235
Sarah,7,stacked,21,20,0.070389327891398
Sarah,8,stacked,19,23,0.27563444261342734
Sarah,9,stacked,90,92,0.03170885972733805
Sarah,10,stacked,47,40,0.2326607567902751
Sarah,11,stacked,84,85,0.017073513358941406
Sarah,12,stacked,69,65,0.08615664374971455
Sarah,13,pie,82,87,0.08539149123064468
Sarah,14,pie,85,92,0.11417101991931103
Sarah,15,stacked,38,30,0.3410369178350669
Sarah,16,pie,92,96,0.06140054466414327
Sarah,17,pie,87,85,0.03355255971102643
Sarah,18,bar,79,80,0.01814734671025952
Sarah,19,pie,15,15,0
Sarah,20,stacked,8,10,0.32192809488736235
Sarah,21,bar,86,90,0.06558834162757689
Sarah,22,stacked,67,65,0.043721377429317775
Sarah,23,pie,33,30,0.13750352374993502
Sarah,24,bar,84,85,0.017073513358941406
Sarah,25,pie,55,40,0.45943161863729726
Sarah,26,bar,84,85,0.017073513358941406
Sarah,27,bar,39,40,0.036525876025113875
Sarah,28,bar,84,90,0.09953567355091437
Sarah,29,pie,49,40,0.292781749227846
Sarah,30,bar,77,75,0.037967850199020416
Sarah,31,bar,20,25,0.32192809488736235
Sarah,32,bar,40,40,0
Sarah,33,bar,80,85,0.0874628412503394
Sarah,34,bar,69,70,0.020758560166797495
Sarah,35,pie,41,30,0.4506614090095652
Sarah,36,stacked,92,85,0.11417101991931103
Sarah,37,bar,83,82,0.017487426728841078
Sarah,38,bar,81,78,0.0544477840223765
Sarah,39,pie,63,55,0.19592020997525691
Sarah,40,pie,18,15,0.2630344058337938
Sarah,41,bar,23,25,0.12029423371771175
Sarah,42,bar,54,60,0.15200309344505006
Sarah,43,bar,22,22,0
Sarah,44,bar,57,69,0.27563444261342734
Sarah,45,stacked,35,30,0.22239242133644802
Sarah,46,pie,12,10,0.2630344058337938
Sarah,47,bar,27,30,0.15200309344505006
Sarah,48,stacked,74,87,0.2334901302197785
Sarah,49,pie,69,60,0.2016338611696504
Sarah,50,stacked,53,50,0.08406426478847456
Sarah,51,pie,48,40,0.2630344058337938
Sarah,52,pie,25,25,0
Sarah,53,stacked,11,12,0.12553088208385882
Sarah,54,stacked,20,20,0
Sarah,55,pie,15,10,0.5849625007211562
Sarah,56,stacked,37,30,0.3025627700204313
Sarah,57,pie,90,90,0
Sarah,58,stacked,79,80,0.01814734671025952
Sarah,59,pie,7,15,1.0995356735509143
Sarah,60,stacked,91,92,0.01576731585831655
Arjun,1,pie,65,45,0.5305147166987798
Arjun,2,bar,94,23,2.0310268956206246
Arjun,3,pie,39,43,0.1408625358398497
Arjun,4,pie,72,56,0.36257007938470837
Arjun,5,stacked,93,56,0.7318038890504274
Arjun,6,stacked,60,1,5.906890595608519
Arjun,7,pie,94,2,5.554588851677638
Arjun,8,bar,26,30,0.20645087746742624
Arjun,9,bar,7,20,1.5145731728297582
Arjun,10,pie,8,10,0.32192809488736235
Arjun,11,stacked,58,60,0.0489096004809465
Arjun,12,pie,7,10,0.5145731728297582
Arjun,13,stacked,91,90,0.0159415438690215
Arjun,14,bar,90,95,0.07800251200127316
Arjun,15,stacked,66,55,0.2630344058337938
Arjun,16,stacked,21,45,1.0995356735509143
Arjun,17,bar,73,70,0.060541541935050874
Arjun,18,bar,89,85,0.06634249482869607
Arjun,19,stacked,63,40,0.655351828612554
Arjun,20,pie,32,30,0.09310940439148145
Arjun,21,stacked,33,20,0.722466024471091
Arjun,22,bar,50,60,0.2630344058337938
Arjun,23,pie,16,10,0.6780719051126377
Arjun,24,stacked,90,76,0.2439255828860891
Arjun,25,pie,82,95,0.21230360371286405
Arjun,26,pie,57,70,0.29639300278022485
Arjun,27,stacked,50,45,0.15200309344505006
Arjun,28,bar,45,50,0.15200309344505006
Arjun,29,bar,59,60,0.024247546246677205
Arjun,30,pie,67,70,0.06319382648719389
Arjun,31,bar,63,80,0.3446481713874458
Arjun,32,pie,63,67,0.08880926695785596
Arjun,33,stacked,23,12,0.9385994553358568
Arjun,34,stacked,66,40,0.722466024471091
Arjun,35,pie,48,30,0.6780719051126377
Arjun,36,stacked,47,35,0.4253058347326708
Arjun,37,bar,10,10,0
Arjun,38,bar,69,80,0.21340363810919336
Arjun,39,bar,31,30,0.04730571477835682
Arjun,40,stacked,54,25,1.1110313123887439
Arjun,41,pie,18,10,0.8479969065549501
Arjun,42,bar,68,80,0.23446525363702297
Arjun,43,bar,22,15,0.5525410230287786
Arjun,44,bar,58,70,0.2713020218173943
Arjun,45,pie,78,85,0.12398871727545328
Arjun,46,stacked,6,5,0.2630344058337938
Arjun,47,pie,64,67,0.06608919045777244
Arjun,48,bar,21,10,1.070389327891398
Arjun,49,pie,79,80,0.01814734671025952
Arjun,50,stacked,29,34,0.22948184612276717
Arjun,51,stacked,13,10,0.37851162325372983
Arjun,52,bar,63,75,0.2515387669959644
Arjun,53,pie,83,90,0.11681366498274988
Arjun,54,bar,37,35,0.08017034868398336
Arjun,55,stacked,77,70,0.13750352374993502
Arjun,56,stacked,55,30,0.874469117916141
Arjun,57,pie,85,80,0.0874628412503394
Arjun,58,bar,39,35,0.15611920191728193
Arjun,59,pie,18,20,0.15200309344505006
Arjun,60,stacked,76,50,0.6040713236688608
Jake,1,stacked,31,40,0.3677317845004871
Jake,2,pie,78,70,0.15611920191728193
Jake,3,bar,51,60,0.23446525363702297
Jake,4,stacked,23,20,0.2016338611696504
Jake,5,pie,54,80,0.5670405927238937
Jake,6,bar,90,95,0.07800251200127316
Jake,7,stacked,22,25,0.18442457113742758
Jake,8,bar,28,30,0.09953567355091437
Jake,9,bar,63,60,0.070389327891398
Jake,10,pie,59,50,0.23878685958711648
Jake,11,stacked,51,50,0.02856915219677092
Jake,12,pie,49,40,0.29278174922784594
Jake,13,pie,78,70,0.15611920191728193
Jake,14,pie,33,30,0.13750352374993502
Jake,15,stacked,81,80,0.017921907997262315
Jake,16,bar,50,50,0
Jake,17,stacked,67,70,0.06319382648719389
Jake,18,pie,26,30,0.20645087746742624
Jake,19,pie,6,10,0.7369655941662062
Jake,20,pie,86,80,0.10433665981473553
Jake,21,bar,86,90,0.06558834162757689
Jake,22,stacked,75,80,0.09310940439148145
Jake,23,stacked,43,23,0.9027027986450852
Jake,24,bar,78,80,0.036525876025113875
Jake,25,bar,31,40,0.3677317845004871
Jake,26,bar,47,60,0.3523017439308812
Jake,27,pie,30,30,0
Jake,28,bar,46,50,0.12029423371771175
Jake,29,pie,27,20,0.43295940727610627
Jake,30,pie,65,40,0.7004397181410922
Jake,31,bar,38,40,0.07400058144377678
Jake,32,bar,81,80,0.017921907997262315
Jake,33,bar,74,80,0.11247472925841265
Jake,34,pie,20,20,0
Jake,35,stacked,92,95,0.04629365227393486
Jake,36,bar,67,75,0.16272950003810832
Jake,37,stacked,32,36,0.16992500144231237
Jake,38,stacked,58,40,0.5360529002402097
Jake,39,stacked,60,55,0.12553088208385882
Jake,40,pie,46,50,0.12029423371771175
Jake,41,pie,15,15,0
Jake,42,bar,26,39,0.5849625007211562
Jake,43,stacked,79,60,0.3968901525685844
Jake,44,pie,51,55,0.10893437155316393
Jake,45,stacked,83,50,0.7311832415721999
Jake,46,bar,84,85,0.017073513358941406
Jake,47,stacked,51,50,0.02856915219677092
Jake,48,stacked,59,40,0.5607149544744789
Jake,49,bar,36,40,0.15200309344505006
Jake,50,bar,71,65,0.12737930647622742
Jake,51,stacked,78,65,0.2630344058337938
Jake,52,stacked,84,90,0.09953567355091437
Jake,53,stacked,24,15,0.6780719051126377
Jake,54,pie,58,60,0.0489096004809465
Jake,55,bar,10,8,0.32192809488736235
Jake,56,pie,65,60,0.11547721741993588
Jake,57,pie,78,80,0.036525876025113875
Jake,58,bar,45,55,0.289506617194985
Jake,59,pie,70,70,0
Jake,60,stacked,51,50,0.02856915219677092
Sydney,1,bar,30,25,0.2630344058337938
Sydney,2,stacked,49,20,1.292781749227846
Sydney,3,pie,53,25,1.0840642647884746
Sydney,4,bar,15,10,0.5849625007211562
Sydney,5,stacked,27,20,0.43295940727610627
Sydney,6,bar,37,35,0.08017034868398336
Sydney,7,bar,38,34,0.16046467219324612
Sydney,8,pie,27,15,0.8479969065549501
Sydney,9,stacked,47,50,0.0892673380970873
Sydney,10,bar,51,45,0.18057224564182084
Sydney,11,pie,23,20,0.2016338611696504
Sydney,12,stacked,53,35,0.5986374376182326
Sydney,13,pie,25,15,0.7369655941662062
Sydney,14,pie,17,13,0.38702312310924725
Sydney,15,bar,37,20,0.8875252707415875
Sydney,16,bar,76,80,0.07400058144377678
Sydney,17,bar,15,10,0.5849625007211562
Sydney,18,pie,24,30,0.32192809488736235
Sydney,19,bar,88,90,0.03242147769237742
Sydney,20,stacked,58,67,0.20810819533020028
Sydney,21,bar,14,10,0.48542682717024166
Sydney,22,pie,8,5,0.6780719051126377
Sydney,23,pie,42,40,0.070389327891398
Sydney,24,bar,83,85,0.03435150479077711
Sydney,25,bar,87,90,0.0489096004809465
Sydney,26,pie,65,75,0.20645087746742624
Sydney,27,stacked,36,20,0.8479969065549501
Sydney,28,stacked,39,25,0.6415460290875237
Sydney,29,stacked,73,50,0.5459683691052925
Sydney,30,stacked,56,40,0.48542682717024166
Sydney,31,stacked,34,30,0.18057224564182084
Sydney,32,pie,55,35,0.6520766965796931
Sydney,33,bar,57,60,0.07400058144377678
Sydney,34,bar,49,45,0.12285674778553338
Sydney,35,pie,15,10,0.5849625007211562
Sydney,36,stacked,63,40,0.655351828612554
Sydney,37,pie,89,90,0.016119665363276994
Sydney,38,pie,77,85,0.14260439544280043
Sydney,39,stacked,73,90,0.3020285374496575
Sydney,40,stacked,14,10,0.48542682717024166
Sydney,41,pie,82,90,0.13430109171159113
Sydney,42,pie,45,60,0.41503749927884376
Sydney,43,stacked,73,70,0.060541541935050874
Sydney,44,pie,28,20,0.48542682717024166
Sydney,45,bar,36,20,0.8479969065549501
Sydney,46,bar,65,80,0.29956028185890793
Sydney,47,pie,17,15,0.18057224564182084
Sydney,48,bar,8,10,0.32192809488736235
Sydney,49,pie,53,75,0.5008982359326816
Sydney,50,bar,94,90,0.06273575534796275
Sydney,51,stacked,59,40,0.5607149544744789
Sydney,52,bar,14,20,0.5145731728297582
Sydney,53,bar,65,70,0.10691520391651188
Sydney,54,pie,91,95,0.06206096813225166
Sydney,55,pie,52,75,0.5283789723547887
Sydney,56,stacked,79,60,0.3968901525685844
Sydney,57,stacked,29,20,0.5360529002402097
Sydney,58,stacked,72,60,0.2630344058337938
Sydney,59,stacked,16,20,0.32192809488736235
Sydney,60,stacked,74,70,0.08017034868398336
Jennie,1,pie,33,30,0.13750352374993502
Jennie,2,bar,64,90,0.4918530963296747
Jennie,3,stacked,60,50,0.2630344058337938
Jennie,4,bar,68,80,0.23446525363702297
Jennie,5,pie,57,80,0.4890380807226206
Jennie,6,stacked,69,60,0.2016338611696504
Jennie,7,pie,14,20,0.5145731728297582
Jennie,8,stacked,36,30,0.2630344058337938
Jennie,9,bar,45,50,0.15200309344505006
Jennie,10,pie,23,30,0.3833286395515057
Jennie,11,stacked,30,40,0.41503749927884376
Jennie,12,pie,40,30,0.41503749927884376
Jennie,13,pie,24,30,0.32192809488736235
Jennie,14,bar,41,60,0.5493385909904348
Jennie,15,bar,61,60,0.023846741954367662
Jennie,16,stacked,82,80,0.03562390973072122
Jennie,17,stacked,65,60,0.11547721741993588
Jennie,18,bar,78,85,0.12398871727545328
Jennie,19,pie,29,20,0.5360529002402097
Jennie,20,stacked,77,70,0.13750352374993502
Jennie,21,stacked,20,20,0
Jennie,22,pie,17,15,0.18057224564182084
Jennie,23,stacked,91,99,0.12156197988091323
Jennie,24,pie,89,89,0
Jennie,25,pie,81,75,0.11103131238874395
Jennie,26,bar,84,85,0.017073513358941406
Jennie,27,stacked,65,40,0.7004397181410922
Jennie,28,pie,75,60,0.32192809488736235
Jennie,29,stacked,84,80,0.070389327891398
Jennie,30,pie,66,50,0.4005379295837288
Jennie,31,pie,71,70,0.020464102559715532
Jennie,32,bar,40,50,0.32192809488736235
Jennie,33,bar,75,70,0.09953567355091437
Jennie,34,stacked,67,60,0.15919859484925394
Jennie,35,stacked,28,20,0.48542682717024166
Jennie,36,bar,80,80,0
Jennie,37,bar,69,65,0.08615664374971455
Jennie,38,stacked,40,30,0.41503749927884376
Jennie,39,pie,86,70,0.29698173775713155
Jennie,40,pie,11,20,0.8624964762500651
Jennie,41,bar,42,50,0.2515387669959644
Jennie,42,bar,71,70,0.020464102559715532
Jennie,43,bar,89,85,0.06634249482869607
Jennie,44,pie,75,70,0.09953567355091437
Jennie,45,bar,12,15,0.32192809488736235
Jennie,46,bar,54,65,0.26748031086498597
Jennie,47,bar,50,50,0
Jennie,48,stacked,24,20,0.2630344058337938
Jennie,49,stacked,33,30,0.13750352374993502
Jennie,50,stacked,45,45,0
Jennie,51,bar,62,60,0.04730571477835682
Jennie,52,pie,20,25,0.32192809488736235
Jennie,53,pie,77,80,0.05514155419246085
Jennie,54,bar,65,75,0.20645087746742624
Jennie,55,stacked,35,40,0.19264507794239583
Jennie,56,stacked,36,30,0.2630344058337938
Jennie,57,stacked,21,20,0.070389327891398
Jennie,58,pie,32,30,0.09310940439148145
Jennie,59,pie,21,15,0.48542682717024166
Jennie,60,bar,8,10,0.32192809488736235
miki,1,bar,29,20,0.5360529002402097
miki,2,bar,87,85,0.03355255971102643
miki,3,bar,94,95,0.01526675665331057
miki,4,bar,31,33,0.09019780897157816
miki,5,bar,57,50,0.18903382439001687
miki,6,bar,53,50,0.08406426478847455
miki,7,pie,78,60,0.37851162325372983
miki,8,pie,9,15,0.7369655941662062
miki,9,stacked,45,30,0.5849625007211562
miki,10,stacked,16,10,0.6780719051126377
miki,11,pie,40,30,0.41503749927884376
miki,12,stacked,45,33,0.44745897697122117
miki,13,bar,8,10,0.32192809488736235
miki,14,pie,54,50,0.11103131238874395
miki,15,pie,50,40,0.32192809488736235
miki,16,bar,14,20,0.5145731728297582
miki,17,pie,29,25,0.21412480535284734
miki,18,stacked,93,90,0.04730571477835682
miki,19,stacked,11,10,0.13750352374993502
miki,20,bar,54,55,0.026472211361191177
miki,21,bar,71,70,0.020464102559715532
miki,22,stacked,14,20,0.5145731728297582
miki,23,bar,90,95,0.07800251200127316
miki,24,stacked,76,90,0.2439255828860891
miki,25,stacked,73,75,0.0389941316158638
miki,26,stacked,10,10,0
miki,27,pie,94,95,0.01526675665331057
miki,28,stacked,16,20,0.32192809488736235
miki,29,stacked,16,15,0.09310940439148145
miki,30,bar,12,10,0.2630344058337938
miki,31,pie,44,25,0.8155754288625726
miki,32,bar,76,70,0.11864449649861893
miki,33,stacked,77,60,0.35989594508638295
miki,34,pie,90,95,0.07800251200127316
miki,35,bar,42,30,0.48542682717024166
miki,36,bar,69,70,0.020758560166797495
miki,37,pie,72,70,0.04064198449734577
miki,38,bar,86,85,0.016873818564396122
miki,39,stacked,14,13,0.10691520391651188
miki,40,stacked,41,30,0.4506614090095652
miki,41,bar,91,90,0.0159415438690215
miki,42,pie,87,70,0.31366047890376186
miki,43,pie,39,25,0.6415460290875237
miki,44,stacked,32,30,0.09310940439148145
miki,45,stacked,58,45,0.3661278987978975
miki,46,pie,16,10,0.6780719051126377
miki,47,pie,47,30,0.6476982560691188
miki,48,pie,9,10,0.15200309344505006
miki,49,bar,39,30,0.37851162325372983
miki,50,pie,78,80,0.036525876025113875
miki,51,stacked,86,95,0.14359085362884985
miki,52,stacked,69,50,0.46466826700344427
miki,53,stacked,64,70,0.12928301694496647
miki,54,bar,80,80,0
miki,55,stacked,57,50,0.18903382439001687
miki,56,pie,46,33,0.47916783669855956
miki,57,pie,60,50,0.2630344058337938
miki,58,pie,46,30,0.6166713604484945
miki,59,pie,8,10,0.32192809488736235
miki,60,bar,23,25,0.12029423371771175
